VA_DATE,VOLCANO_NAME,VOLCANO_ID,OBS_DATE,OBS_LOWALT,OBS_HIGHALT,OBS_CONTOUR,FCST+6_DATE,FCST+6_LOWALT,FCST+6_HIGHALT,FCST+6_CONTOUR,FCST+12_DATE,FCST+12_LOWALT,FCST+12_HIGHALT,FCST+12_CONTOUR,FCST+18_DATE,FCST+18_LOWALT,FCST+18_HIGHALT,FCST+18_CONTOUR
201803021801,FUEGO,342090,201803021730,SFC,FL150,N1429W09052N1427W09053N1416W09147N1428W09150N1429W09052,201803022330,SFC,FL150,N1429W09052N1427W09052N1416W09147N1428W09150N1429W09052,201803030530,None,None,NO ASH,201803031130,None,None,NO ASH
201803021210,FUEGO,342090,201803021130,SFC,FL150,N1428W09052N1426W09051N1415W09113N1423W09117N1428W09052,201803021730,SFC,FL150,N1435W09137N1428W09052N1426W09051N1420W09136N1435W09137,201803022330,SFC,FL150,N1443W09135N1428W09052N1426W09051N1431W09138N1443W09135,201803030530,None,None,NO ASH
201803020623,FUEGO,342090,201803020545,SFC,FL140,N1429W09052N1427W09052N1410W09108N1419W09114N1429W09052,201803021200,SFC,FL140,N1429W09052N1426W09052N1402W09122N1414W09129N1429W09052,201803021800,SFC,FL140,N1429W09052N1426W09052N1407W09133N1422W09137N1429W09052,201803030000,None,None,NO ASH
201803020106,FUEGO,342090,201803020030,SFC,FL150,N1431W09053N1428W09052N1423W09057N1428W09100N1431W09053,201803020630,SFC,FL150,N1430W09052N1428W09051N1423W09107N1429W09107N1430W09052,201803021230,SFC,FL150,N1431W09053N1427W09052N1423W09105N1429W09106N1431W09053,201803021830,None,None,NO ASH
201803011916,FUEGO,342090,201803011845,SFC,FL150,N1445W09125N1429W09052N1427W09055N1438W09129N1445W09125,201803020100,SFC,FL150,N1446W09125N1429W09053N1427W09053N1437W09130N1446W09125,201803020700,SFC,FL150,N1446W09126N1429W09052N1427W09054N1437W09130N1446W09126,201803021300,None,None,NO ASH
201803011324,FUEGO,342090,201803011245,SFC,FL150,N1441W09118N1429W09053N1428W09053N1435W09121N1441W09118,201803011900,SFC,FL150,N1447W09130N1429W09053N1428W09053N1437W09134N1447W09130,201803020100,SFC,FL150,N1447W09130N1428W09052N1428W09053N1437W09134N1447W09130,201803020700,SFC,FL150,N1447W09129N1429W09053N1428W09053N1437W09134N1447W09129
201803010736,FUEGO,342090,201803010600,SFC,FL150,N1436W09120N1429W09052N1425W09051N1425W09122N1436W09120,201803011200,SFC,FL150,N1448W09154N1428W09051N1425W09051N1432W09156N1448W09154,201803011800,None,None,NO ASH,201803020000,None,None,NO ASH
201802281838,FUEGO,342090,2018022818,SFC,FL160,N1443W09208N1428W09053N1426W09053N1421W09209N1443W09208,201802010000,SFC,FL160,N1443W09206N1428W09053N1426W09053N1422W09210N1443W09206,201802010600,SFC,FL160,N1447W09205N1428W09052N1427W09053N1424W09210N1447W09205,201802011200,SFC,FL160,N1449W09206N1428W09053N1428W09053N1426W09210N1449W09206
201802281255,FUEGO,342090,201802281215,SFC,FL160,N1449W09232N1429W09052N1426W09053N1418W09234N1449W09232,201802281830,SFC,FL160,N1455W09231N1429W09052N1426W09053N1422W09235N1455W09231,201802010030,SFC,FL160,N1456W09229N1429W09052N1428W09055N1429W09233N1456W09229,201802010630,SFC,FL160,N1458W09231N1429W09053N1426W09053N1428W09235N1458W09231
201802280711,FUEGO,342090,201802280645,SFC,FL160,N1437W09134N1429W09052N1425W09053N1423W09139N1437W09134,201802281300,SFC,FL160,N1440W09156N1429W09053N1425W09053N1424W09205N1440W09156,201802281900,SFC,FL160,N1440W09158N1429W09052N1425W09054N1424W09205N1440W09158,201802010100,SFC,FL160,N1440W09157N1429W09052N1425W09052N1424W09203N1440W09157
201802280125,FUEGO,342090,201802280100,SFC,FL160,N1435W09126N1429W09053N1427W09052N1422W09126N1435W09126,201802280700,SFC,FL160,N1437W09131N1429W09053N1427W09052N1425W09130N1437W09131,201802281300,SFC,FL160,N1438W09131N1429W09052N1427W09053N1425W09130N1438W09131,201802281900,SFC,FL160,N1438W09133N1429W09052N1427W09052N1425W09132N1438W09133
201802272004,FUEGO,342090,201802271945,SFC,FL160,N1433W09138N1429W09052N1427W09053N1419W09137N1433W09138,201802280200,SFC,FL160,N1434W09140N1429W09053N1426W09053N1419W09138N1434W09140,201802280800,SFC,FL160,N1434W09140N1429W09052N1426W09053N1419W09138N1434W09140,201802281400,SFC,FL160,N1435W09140N1429W09052N1428W09052N1420W09139N1435W09140
201802271412,FUEGO,342090,201802271345,SFC,FL160,N1430W09052N1426W09053N1419W09240N1430W09240N1430W09052,201802272000,SFC,FL160,N1431W09242N1430W09052N1426W09053N1419W09241N1431W09242,201802280200,SFC,FL160,N1431W09242N1430W09053N1426W09052N1419W09242N1431W09242,201802280800,SFC,FL160,N1430W09243N1430W09052N1426W09052N1419W09242N1430W09243
201802270826,FUEGO,342090,201802270800,SFC,FL160,N1443W09201N1429W09052N1425W09053N1423W09220N1443W09201,201802271400,SFC,FL160,N1435W09208N1429W09053N1425W09053N1416W09217N1435W09208,201802272000,SFC,FL160,N1434W09208N1429W09053N1425W09053N1414W09217N1434W09208,201802280200,SFC,FL160,N1433W09207N1429W09053N1426W09052N1414W09217N1433W09207
